date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:58	39549/39549	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-9a7d%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/carousel.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/carousel.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:58	31710/31710	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-7bde%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/colcade.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/colcade.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:58	33049/33049	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-8119%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/loaders.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/loaders.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:58	43434/43434	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-a9aa%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/treeview.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/ui-features/treeview.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:59	62977/62977	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-f601%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/basic_elements.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/basic_elements.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:59	52988/52988	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-cefc%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/advanced_elements.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/advanced_elements.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:59	35452/35452	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-8a7c%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/validation.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/validation.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:27:59	35954/35954	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-8c72%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/wizard.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/wizard.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:00	33532/33532	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-82fc%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/text_editor.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/text_editor.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
16:28:00	36495/36495	---MCZ	200	added ('OK')	text/html	etag:W/%2264a9aecf-8e8f%22	https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/code_editor.html	C:/Users/DELL/Documents/template%20projet/Template%20Portail%20web%202/demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/pages/forms/code_editor.html	(from https://demo.bootstrapdash.com/celestial/template/demo/vertical-default-light/index.html)
